id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_post_win_prob,away_id,away_team,away_conference,away_points,away_post_win_prob,excitement_index,team,opponent,team_points,opp_points,win_loss,stadium_lat,stadium_lon,stadium_zip,UL_lat,UL_lon,UL_zip,dist_m,dist_km,dist_mi,MOV,game_dt,game_id,school,conference,home_away,points,total_yards,net_passing_yards,completion_attempts,passing_tds,yards_per_pass,passes_intercepted,interception_yards,interception_tds,rushing_attempts,rushing_yards,rush_tds,yards_per_rush_attempt,first_downs,down3_success,down3_attempts,down4_success,down4_attempts,punt_returns,punt_return_yards,punt_return_tds,kick_return_yards,kick_return_tds,kick_returns,kicking_points,fumbles_recovered,fumbles_lost,total_fumbles,tackles,tackles_for_loss,sacks,qb_hurries,interceptions,passes_deflected,turnovers,defensive_tds,penalties,penalty_yardage,possession_time,down3_eff,down4_eff,penalties_yards_total
400547786,2014,1,regular,2014-09-01T20:00:00.000Z,,FALSE,TRUE,55428,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,31,0.993940862384836,2390,Miami,ACC,13,0.0060591376151639675,5.4013085952,Louisville,Miami,31,13,W,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,18,2014-09-01,400547786,Louisville,ACC,home,31,336,206,20-28,2,7.4,2,65,0,43,130,1,3.0,21,7,15,2,2,2,6,0,132,1,3,7,1,2,,,,,,0,,2,,7,57,33:03,7-15,2-2,7-57
400547780,2014,2,regular,2014-09-06T19:00:00.000Z,,FALSE,FALSE,50179,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,66,0.9999476726683685,93,Murray State,,21,0.0000523273316315187,0.1029674689,Louisville,Murray State,66,21,W,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,45,2014-09-06,400547780,Louisville,ACC,home,66,603,278,25-39,3,7.1,1,0,0,49,325,6,6.6,31,11,19,4,5,3,-2,0,44,0,3,12,0,0,,,,,,0,,0,,3,19,42:09,11-19,4-5,3-19
400547781,2014,3,regular,2014-09-13T12:30:00.000Z,,FALSE,TRUE,34816,3923,Scott Stadium,258,Virginia,ACC,23,0.9223539766665813,97,Louisville,ACC,21,0.07764602333341875,7.69776004549999,Louisville,Virginia,21,23,L,38.0311,78.5137,22903,38.2061,85.7588,40209,634655.031437523,634.655031437523,394.356231539365,-2,2014-09-13,400547781,Louisville,ACC,away,21,282,203,20-43,2,4.7,2,0,0,27,79,1,2.9,17,4,14,1,1,3,37,0,36,0,2,3,1,2,,,,,,2,,4,,7,50,28:01,4-14,1-1,7-50
400547782,2014,4,regular,2014-09-20T15:30:00.000Z,,FALSE,FALSE,10826,218,FIU Stadium,2229,Florida International,Conference USA,3,0.003783923714843294,97,Louisville,ACC,34,0.9962160762851567,0.7376437349,Louisville,Florida International,34,3,W,25.7525,80.3779,33199,38.2061,85.7588,40209,1475737.97778685,1475.73797778685,916.980782995394,31,2014-09-20,400547782,Louisville,ACC,away,34,336,324,20-36,2,9.0,2,32,1,35,12,1,0.3,16,5,17,2,3,8,64,0,27,0,1,10,1,2,,,,,,0,,2,,7,36,29:03,5-17,2-3,7-36
400547833,2014,5,regular,2014-09-27T15:30:00.000Z,,FALSE,TRUE,51463,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,20,0.9999754858352631,154,Wake Forest,ACC,10,0.000024514164736921806,4.66226883979999,Louisville,Wake Forest,20,10,W,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,10,2014-09-27,400547833,Louisville,ACC,home,20,421,206,16-32,0,6.4,3,32,0,49,215,2,4.4,21,8,18,1,2,3,10,0,16,0,1,8,0,3,,,,,,0,,3,,11,89,34:10,8-18,1-2,11-89
400547783,2014,6,regular,2014-10-03T19:00:00.000Z,,FALSE,TRUE,37569,1964,Carrier Dome,183,Syracuse,ACC,6,0.00971438828742943,97,Louisville,ACC,28,0.9902856117125706,4.5172627805,Louisville,Syracuse,28,6,W,43.0362,76.1363,13244,38.2061,85.7588,40209,973777.897519953,973.777897519953,605.077345959871,22,2014-10-03,400547783,Louisville,ACC,away,28,352,174,12-22,1,7.9,2,24,0,48,178,2,3.7,18,7,16,0,0,3,21,0,125,0,5,6,0,1,,,,,,1,,2,,9,75,36:58,7-16,0-0,9-75
400547745,2014,7,regular,2014-10-11T15:30:00.000Z,,FALSE,TRUE,81500,3836,Memorial Stadium,228,Clemson,ACC,23,0.15549833291526072,97,Louisville,ACC,17,0.8445016670847393,8.8249278367,Louisville,Clemson,17,23,L,34.6787,82.8432,29631,38.2061,85.7588,40209,471484.606943591,471.484606943591,292.966861701146,-6,2014-10-11,400547745,Louisville,ACC,away,17,264,212,15-30,1,7.1,2,0,0,38,52,1,1.4,10,1,17,0,2,5,24,0,38,0,2,5,0,2,,,,,,0,,2,,11,65,36:46,1-17,0-2,11-65
400547805,2014,8,regular,2014-10-18T15:30:00.000Z,,FALSE,TRUE,50227,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,30,0.9468339139389844,152,NC State,ACC,18,0.05316608606101558,2.7943704458,Louisville,NC State,30,18,W,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,12,2014-10-18,400547805,Louisville,ACC,home,30,369,203,21-36,2,5.6,1,0,0,33,166,1,5.0,21,9,16,0,0,2,51,0,18,0,1,12,0,0,,,,,,0,,0,,4,33,29:45,9-16,0-0,4-33
,2014,9,,,,,,,,,,,,,,,,,,,,,BYE WEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400547768,2014,10,regular,2014-10-30T19:30:00.000Z,,FALSE,TRUE,55414,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,31,0.8780549445984166,52,Florida State,ACC,42,0.1219450554015834,6.9401936754,Louisville,Florida State,31,42,L,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,-11,2014-10-30,400547768,Louisville,ACC,home,31,488,330,20-38,1,8.5,3,14,0,33,158,3,4.8,24,1,11,0,2,1,0,0,46,0,3,7,0,1,,,,,,1,,2,,3,14,31:34,1-11,0-2,3-14
