venue_id,venue,home_team,stadium_lat,stadium_lon,stadium_zip
4013,Camping World Stadium,Alabama,28.539,81.4028,32805
3495,Georgia Dome,Auburn,33.7577,84.4008,30313
3615,Alumni Stadium,Boston College,42.3351,71.1665,2467
3836,Memorial Stadium,Clemson,34.6787,82.8432,29631
218,FIU Stadium,Florida International,25.7525,80.3779,33199
3697,Bobby Bowden Field at Doak Campbell Stadium,Florida State,30.4382,84.3044,32301
721,Bobby Dodd Stadium at Historic Grant Field,Georgia Tech,33.7725,84.3922,30313
4728,John O'Quinn Field at TDECU Stadium,Houston,29.722,95.3492,77004
3683,Commonwealth Stadium,Kentucky,38.0227,84.5052,40506
3873,Papa John's Cardinal Stadium,Louisville,38.2061,85.7588,40209
3775,Joan C. Edwards Stadium,Marshall,38.4249,82.421,25703
3948,Hard Rock Stadium,Miami,25.958,80.2389,33056
3670,Carter-Finley Stadium,NC State,35.8008,78.7196,27607
3787,Kenan Memorial Stadium,North Carolina,35.907,79.0479,27514
3855,Notre Dame Stadium,Notre Dame,41.6984,86.2339,46556
3752,Heinz Field,Pittsburgh,40.4468,80.0158,15212
3812,Lucas Oil Stadium,Purdue,39.7601,86.1639,46225
1964,Carrier Dome,Syracuse,43.0362,76.1363,13244
3923,Scott Stadium,Virginia,38.0311,78.5137,22903
3630,BB&T Field,Wake Forest,36.1306,80.2545,27105
3810,Nissan Stadium,Western Kentucky,36.1665,80.2545,37213
